TSTNO| VEHNO| OCCLOC| OCCLOCD| OCCTYP| OCCTYPD| OCCAGE| OCCSEX| OCCSEXD| OCCHT| OCCWT| MTHCAL| MTHCALD| DUMSIZ| DUMSIZD| DUMMAN| DUMMOD| DUMDSC| HH| HW| HR| HS| CD| CS| AD| HD| KD| HB| NB| CB| KB| SEPOSN| SEPOSND| CNTRH1| CNTRH1D| CNTRH2| CTRH2D| CNTRC1| CNTRC1D| CNTRC2| CNTRC2D| CNTRL1| CNTRL1D| CTRL2| CNTRL2D| HIC| T1| T2| CLIP3M| LFEM| RFEM| CSI| LBELT| SBELT| TTI| PELVG| OCCCOM 
1|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|376|559|193|241|673||140|165|198|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|1118|68.55|109.28|45.4|0|0|60|0|5694|||NO COMMENTS
2|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID #187||NO COMMENTS|325|493|180|282|551||173|155|160|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|132|92.33|164.48|0|0|0|35|0|0|||NO COMMENTS
4|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 183||NO COMMENTS|368|475|165|216|678|0|157|224|216|0|0|0|0|CN|CENTER POSITION|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|2432|77.7|86.03|59.5|0|0|60|0|7028|||NO COMMENTS
5|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|368|475|165|216|678|0|157|226|213|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|623|63.23|123.38|33.9|0|0|60|0|6761|||NO COMMENTS
7|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|470|584|165|206|610|0|102|132|89|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|429|60.6|129.45|32.5|0|0|60|0|8171|||NO COMMENTS
9|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA PART 572 S48||NO COMMENTS|704|843|||704||||218|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1254|85.5|110.98|0|-13838|-2402|307|7793|8621|||NO COMMENTS
10|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 527 ALDERSON GFE SER. NO. 760||NO COMMENTS|762|490|||533||||178|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1825|99.75|115.25|0|-2980|-3363|656|9266|9288|||NO COMMENTS
11|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 759||NO COMMENTS|762|800|||759||||259|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|407|68.13|154.5|0|0|0|0|0|0|||NO COMMENTS
13|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 527 ALDERSON GFE SER. NO. 760||NO COMMENTS|505|490|||523||||135|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2040|89.88|111.63|0|-9519|-4217|790|8447|7277|||NO COMMENTS
14|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 759||NO COMMENTS|462|648|||546||||163|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|388|71.13|148.63|0|0|0|0|0|0|||NO COMMENTS
