"","BARANG","BARDIA","OCCAGE","OCCWT","HH","HW","HR","HS","CD","CS","AD","HD","KD","HB","NB","CB","KB","TEMP","IMPANG","OFFSET","IMPPNT","ENGDSP","VEHTWT","CURBWT","WHLBAS","VEHLEN","VEHWID","VEHCG","BX1","BX2","BX3","BX4","BX5","BX6","BX7","BX8","BX9","BX10","BX11","BX12","BX13","BX14","BX15","BX16","BX17","BX18","BX19","BX20","BX21","VEHSPD","CRBANG","PDOF","CARANG","VEHOR"
"BARANG",1,0.0648044399638375,-0.00296768815781772,0.0606152522470234,-0.0109477787286856,-0.00953804387888882,-0.012325734634714,-0.0126635940549657,-0.023162052730604,0.0466203161592344,-0.0122686470229696,-0.0125518428377843,-0.00968031078478398,0.0802561178869086,0.0801031926983827,0.0801031926983827,0.0800014686788929,0.106580094461431,-0.00229057959523467,0.162296487312028,0.044619836070082,-0.00562797801024969,-0.00229057959523467,0.0251913406433022,-0.00629808342583977,-0.00280623339366975,-0.0110108388992152,-0.0102312833202667,0.0501733583008514,0.0457625804007048,0.0456204733865828,0.0457625804007048,0.0457625804007048,0.0459053000491864,0.0459053000491864,0.0459053000491864,0.0459053000491864,0.0460486375749705,0.0459053000491864,0.0460486375749705,0.0460486375749705,0.0460486375749705,0.0456204733865828,0.0459053000491864,0.0459053000491864,0.0457625804007048,0.0493698565516554,0.0493698565516554,0.0453380766008658,-0.00114476511722134,0.213863164389488,-0.00550863409575937,0.0994782907257719,0.0991911994131564
"BARDIA",0.0648044399638375,1,0.324490426972986,0.716880082608794,-0.114668196985165,-0.0957340970718442,-0.125752697475319,-0.113390246334056,0.277605455922437,-0.0875561420793117,-0.131944191607458,-0.132196681531554,-0.0933200002563782,0.947757700369158,0.944657112269046,0.945941978507296,0.94601871482378,0.085331908302076,-0.00920250722811575,0.240696311779222,0.740561361995435,-0.000459786076311859,-0.00920250722811575,0.295746750756301,-0.0286079424995277,0.0108156508453949,0.146446242319844,-0.0720806316205678,-0.204876719691169,-0.16621075613166,-0.1645688786225,-0.163987119141366,-0.163987119141366,-0.16563126147119,-0.16563126147119,-0.16563126147119,-0.16563126147119,-0.167281195484191,-0.16563126147119,-0.167281195484191,-0.167281195484191,-0.167281195484191,-0.162348720545272,-0.16785839637619,-0.16563126147119,-0.161763482151072,-0.205149783913619,-0.205149783913619,-0.159088965547755,0.0224345886493077,-0.0447615268409485,-0.0654934884432373,0.741327608660213,0.73978558728313
"OCCAGE",-0.00296768815781772,0.324490426972986,1,0.719225112263252,0.206114436130597,0.177490730887786,0.226922006259016,0.237242118775209,0.0780774913261764,0.206114436130597,0.229224241945238,0.234975447860812,0.176043191656663,0.360067008238794,0.359753792123626,0.359753792123626,0.359973682871779,-0.0280297324230196,0.0447443315640682,0.26823855304432,0.669994759255246,0.0951816953683533,0.0267278086776513,0.29860117941792,0.0900021799422983,0.0253872920713724,-0.0158618323680409,0.158589828627485,0.370289688740094,0.375083058677407,0.373655191523021,0.372861176218115,0.372861176218115,0.374291396387956,0.372066018773941,0.372066018773941,0.372066018773941,0.373498603421544,0.372066018773941,0.373498603421544,0.373498603421544,0.373498603421544,0.369218378940591,0.374291396387956,0.374291396387956,0.375083058677407,0.369623408353655,0.369623408353655,0.373028315855083,0.0223619166408768,0.109937290391386,0.107606018563409,0.429117177692055,0.42792246752854
"OCCWT",0.0606152522470234,0.716880082608794,0.719225112263252,1,0.150852719332085,0.130414123488693,0.167340987681155,0.165707671902972,0.32517739840093,0.150852719332085,0.166505497698506,0.170647425210546,0.132483891548203,0.74277261323726,0.742969727027166,0.742969727027166,0.74393536429157,0.0778003881434847,0.032350665969989,0.364663851941493,0.954408138431469,0.0794859244685527,0.032350665969989,0.411938259914576,0.0825216376932388,0.0253118842126518,0.136778791709351,0.128433848784746,0.262017966418221,0.278603894551248,0.27916386328712,0.278603894551248,0.278603894551248,0.278043177122504,0.278043177122504,0.278043177122504,0.278043177122504,0.277481706115131,0.278043177122504,0.277481706115131,0.277481706115131,0.277481706115131,0.27916386328712,0.278043177122504,0.278043177122504,0.278603894551248,0.264928200186664,0.264928200186664,0.280281574002664,0.0161679227381438,0.0794859244685527,0.0778003881434847,0.601332922945788,0.600442475428532
"HH",-0.0109477787286856,-0.114668196985165,0.206114436130597,0.150852719332085,1,0.858060956242023,0.846872569537361,0.824201927934497,0.442786942529136,0.896052432106556,0.87158209925396,0.862045088334458,0.845272351631726,-0.0405873652899488,-0.0408842096488383,-0.0408842096488383,-0.0410820635030686,0.0309245088366613,-0.00584288474659365,0.121877495171632,0.0638978113007741,0.117751697730965,0.0479247850001502,0.0642588890153436,0.338744339319097,0.036756310693582,0.0178619457136238,0.65128427904346,0.438137464770205,0.412280570539062,0.411455690288542,0.412280570539062,0.418911452815318,0.413109539061741,0.41975085211457,0.413109539061741,0.41975085211457,0.413942631330333,0.41975085211457,0.413942631330333,0.413942631330333,0.413942631330333,0.411455690288542,0.413109539061741,0.413109539061741,0.412280570539062,0.433391642148219,0.433391642148219,0.416417982807144,-0.00292010400152011,0.403985105434524,0.413221455813652,-0.020122763426841,-0.020543575881915
"HW",-0.00953804387888882,-0.0957340970718442,0.177490730887786,0.130414123488693,0.858060956242023,1,0.762048969973854,0.741696031398482,0.404983334937303,0.858060956242023,0.765598623171906,0.748306815809495,0.970497350172206,-0.00957911536146566,-0.00984753513526337,-0.00984753513526337,-0.0100263885611423,0.0390435104766917,-0.00509050214417251,0.107777529074548,0.0293848746580067,0.0628129838150474,0.0562201045628464,0.0559843341947574,0.390588457571631,0.0438387345512787,0.0279246960119176,0.749673300413607,0.46516781788016,0.438710720068531,0.437867650006636,0.438710720068531,0.446271832857591,0.439558031474233,0.447131038348403,0.439558031474233,0.447131038348403,0.440409621075696,0.447131038348403,0.440409621075696,0.440409621075696,0.440409621075696,0.437867650006636,0.439558031474233,0.439558031474233,0.438710720068531,0.460307673231946,0.460307673231946,0.436194088719263,-0.00254408504114528,0.464521788067063,0.47497197588726,0.00666446544950486,0.00627031970233328
"HR",-0.012325734634714,-0.125752697475319,0.226922006259016,0.167340987681155,0.846872569537361,0.762048969973854,1,0.964305336233931,0.39317486577445,0.753874674478143,0.958229585066143,0.963806883049688,0.750523592845104,-0.0609923628410701,-0.0613207556644316,-0.0613207556644316,-0.0615396698149711,0.0244181736179538,-0.00657830676637889,0.137000245199338,0.0911657938820403,0.121727356454261,0.0415255614627667,0.0723469147078527,0.369888182116871,0.109806748990642,0.0197637412886962,0.609701055145718,0.474047875309532,0.445842346011534,0.444942319412151,0.445842346011534,0.451774741608412,0.44674681881956,0.452688546431461,0.44674681881956,0.452688546431461,0.447655776404258,0.452688546431461,0.447655776404258,0.447655776404258,0.447655776404258,0.444942319412151,0.44674681881956,0.44674681881956,0.445842346011534,0.468871938665382,0.468871938665382,0.449060154848873,-0.00328764655556977,0.358110770647597,0.366444563238447,-0.0397904872058859,-0.0402447762278788
"HS",-0.0126635940549657,-0.113390246334056,0.237242118775209,0.165707671902972,0.824201927934497,0.741696031398482,0.964305336233931,1,0.374724613803306,0.733513201928105,0.932595739555023,0.93799206308853,0.730435488762983,-0.0541250132494764,-0.0544656533964447,-0.0544656533964447,-0.0546927134330302,0.0229853940915401,-0.006758624043701,0.14378951632203,0.0984063295512996,0.117860451813768,0.0401508089375796,0.074330008404463,0.342561457463059,0.106659187326185,0.0376649504020992,0.603772054812065,0.471539253469333,0.443290637635359,0.442389052525368,0.443290637635359,0.449075729851739,0.444196664591904,0.44999085710623,0.444196664591904,0.44999085710623,0.445107171915574,0.44999085710623,0.445107171915574,0.445107171915574,0.445107171915574,0.442389052525368,0.444196664591904,0.444196664591904,0.443290637635359,0.466356207662427,0.466356207662427,0.446357142302759,-0.00337776389073687,0.348374386226846,0.356519153274983,-0.0238776093808279,-0.024363690963245
"CD",-0.023162052730604,0.277605455922437,0.0780774913261764,0.32517739840093,0.442786942529136,0.404983334937303,0.39317486577445,0.374724613803306,1,0.430837669717255,0.41158141002356,0.400012020361728,0.411221512714721,0.302260720538802,0.299503155257262,0.301485161431759,0.302950565256878,0.0168032159620579,-0.0123617044108537,0.349790300609954,0.291338593799054,0.0265762323413469,0.043265965437988,0.135951576358002,0.19033970992833,0.053005971621346,-0.0059422836067691,0.314305112674563,0.162784060965087,0.147495724361146,0.143459668855634,0.147495724361146,0.147495724361146,0.144673940511668,0.148109469442024,0.148109469442024,0.148109469442024,0.145284737281378,0.148109469442024,0.145284737281378,0.145284737281378,0.145284737281378,0.153733968747151,0.144673940511668,0.148109469442024,0.144065591236469,0.159386528778181,0.159386528778181,0.145669144157759,-0.00617802063215215,0.186033626389429,0.191298150952659,-0.067900491792033,-0.0687619911068636
"CS",0.0466203161592344,-0.0875561420793117,0.206114436130597,0.150852719332085,0.896052432106556,0.858060956242023,0.753874674478143,0.733513201928105,0.430837669717255,1,0.79893679425568,0.780766657764062,0.845272351631726,-0.0137568821296978,-0.0140639248513111,-0.0140639248513111,-0.0142685191668691,0.075900620245719,-0.00584288474659365,0.143515543332819,0.0638978113007741,0.0957337432922301,0.0479247850001502,0.0642588890153436,0.338744339319097,0.036756310693582,0.0178619457136238,0.65128427904346,0.438137464770205,0.418911452815318,0.411455690288542,0.412280570539062,0.418911452815318,0.413109539061741,0.41975085211457,0.413109539061741,0.41975085211457,0.413942631330333,0.41975085211457,0.413942631330333,0.413942631330333,0.413942631330333,0.411455690288542,0.413109539061741,0.413109539061741,0.412280570539062,0.433391642148219,0.433391642148219,0.416417982807144,-0.00292010400152011,0.448021014311995,0.413221455813652,-0.0119473838787129,-0.0123774951212339
