TSTNO| VEHNO| OCCLOC| OCCLOCD| OCCTYP| OCCTYPD| OCCAGE| OCCSEX| OCCSEXD| OCCHT| OCCWT| MTHCAL| MTHCALD| DUMSIZ| DUMSIZD| DUMMAN| DUMMOD| DUMDSC| HH| HW| HR| HS| CD| CS| AD| HD| KD| HB| NB| CB| KB| SEPOSN| SEPOSND| CNTRH1| CNTRH1D| CNTRH2| CTRH2D| CNTRC1| CNTRC1D| CNTRC2| CNTRC2D| CNTRL1| CNTRL1D| CTRL2| CNTRL2D| HIC| T1| T2| CLIP3M| LFEM| RFEM| CSI| LBELT| SBELT| TTI| PELVG| OCCCOM 
1|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|343|495|196|244|602|386|152|191|157|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1041|69.68|96.45|60.6|0|0|60|0|7099|||NO COMMENTS
2|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID #97||NO COMMENTS|356|528|191|264|566|427|155|155|175|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|72|98.85|165.23|0|0|0|51|0|0|||NO COMMENTS
3|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID PART 572 SER NO.187||NO COMMENTS|351|508|165|274|584|376|127|152|175|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|61|102.15|164.1|14|0|0|60|1023|2469|||NO COMMENTS
4|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 182||NO COMMENTS|356|478|165|221|602|386|119|183|152|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|4223|63.75|68.1|86.7|0|0|60|0|7784|||NO COMMENTS
5|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|356|480|165|208|602|391|119|183|191|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|846|70.58|100.5|43.1|0|0|60|0|6850|||NO COMMENTS
7|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|483|597|178|216|577|381|114|178|97|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1024|76.13|94.35|63.4|0|0|60|0|8171|||NO COMMENTS
9|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA PART 572 S45||NO COMMENTS|650|790|||650|373|||160|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1338|94.75|101.88|0|-712|-738|328|6908|7767|||NO COMMENTS
10|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 527 ALDERSON GFE SER. NO. 759||NO COMMENTS|638|516|||638|305|305||160|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1677|82.5|120.75|0|-2197|-4110|749|7424|4657|||NO COMMENTS
11|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A03||NO COMMENTS|638|765|||638|391|||168|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|672|75.5|106.13|0|0|0|0|0|0|||NO COMMENTS
13|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 527 ALDERSON GFE SER. NO. 759||NO COMMENTS||516||||269|||140|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1624|69.88|104.38|0|-4853|-3149|1139|11935|10551|||NO COMMENTS
