TSTNO| VEHNO| OCCLOC| OCCLOCD| RSTNO| RSTTYP| RSTTYPD| RSTMNT| RSTMNTD| DEPLOY| DEPLOYD| RSTCOM 
1|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
1|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
2|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
2|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
4|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
4|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
5|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
5|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
7|1|02|RIGHT FRONT SEAT|1|PS3|PASSIVE 3 POINT BELT|||NA|NOT APPLICABLE|
7|1|02|RIGHT FRONT SEAT|2|KNE|KNEE AIR BAG|||NA|NOT APPLICABLE|
9|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
9|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
10|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
10|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
11|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
11|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
13|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
13|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
14|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
14|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
16|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
16|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
17|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
17|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
18|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
18|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
19|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
19|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
20|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
20|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
25|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
25|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
27|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
27|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
30|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
30|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
33|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
33|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
35|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
35|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
39|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
39|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
40|1|02|RIGHT FRONT SEAT|1|3PT|3 POINT BELT|||NA|NOT APPLICABLE|
40|1|02|RIGHT FRONT SEAT|2|DPL|DASHPANEL|||NA|NOT APPLICABLE|
41|1|02|RIGHT FRONT SEAT|1|PS3|PASSIVE 3 POINT BELT|||NA|NOT APPLICABLE|
