TSTNO| TSTPRF| TSTREF| PAPERREPORTEXISTS| ELECREPORTEXISTS| ELECREPTTSTNO| ELECREPTCOMMENT| HARDFILMEXISTS| ELECVIDEOEXISTS| ELECVIDEOTSTNO| ELECVIDEOCOMMENT| PHOTOEXISTS| PHOTOTSTNO| PHOTOCOMMENT 
1|CAL|308T1430|YES|YES|1||YES|YES|1||||
2|CAL|885T4455|YES|YES|2||YES|YES|2||||
3|CAL|32914456|YES|YES|3||YES|YES|3||||
4|CAL|308T2431|YES|YES|4||YES|YES|4||||
5|CAL|308T3432|YES|YES|5||YES|YES|5||||
6|CAL|308T4440|YES|YES|6||UNK|YES|6||||
7|CAL|308T5441|YES|YES|7||YES|YES|7||||
8|DYS|8316-4|YES|YES|8||YES|YES|8||||
9|DYS|3052-8|YES|YES|50||YES|YES|9||||
10|DYS|8316-7|YES|YES|10||YES|YES|10||||
11|DYS|3052-4|YES|YES|50||YES|YES|11||||
12|DYS|8316-8|YES|YES|10||YES|YES|12||||
13|DYS|8316-5|YES|YES|13||YES|YES|13||||
14|DYS|3052-2|YES|YES|50||NO|YES|14||||
15|DYS|8316-2|YES|YES|15||YES|YES|15||||
16|DYS|3052-7|YES|YES|50||NO|NO|||||
17|DYS|8316-3|YES|YES|8||YES|YES|17||||
18|DYS|8316-1|YES|YES|15||YES|YES|18||||
19|DYS|3052-3|YES|YES|50||YES|YES|19||||
20|DYS|8317-004|NO||||YES|YES|20||||
21|DYS|8317-002|NO||||YES|YES|21||||
22|DYS|8317-001|NO||||YES|YES|22||||
23|CAL|308T7443|YES|YES|23||YES|YES|23||||
24|CAL|308T8444|YES|YES|24||YES|YES|24||||
25|CAL|308T9445|YES|YES|25||YES|YES|25||||
26|CAL|30810449|YES|YES|26||YES|YES|26||||
27|CAL|308T6442|YES|YES|27||YES|YES|27||||
28|CAL|30811450|YES|YES|28||YES|YES|28||||
29|CAL|30812451|YES|YES|29||YES|YES|29||||
30|MSE|P9134VOL|YES|YES|30||YES|YES|30||||
31|DYS|83170006|NO||||NO|YES|31||||
32|DYS|8317-008|NO||||YES|YES|32||||
33|DYS|3066- 10|YES|YES|33||YES|YES|33||||
34|DYS|8317-009|NO||||YES|YES|34||||
35|DYS|30661-12|YES|YES|35||YES|YES|35||||
36|DYS|3066- 27|YES|YES|36||YES|YES|36||||
37|DYS|3066- 24|YES|YES|37||YES|YES|37||||
38|DYS|3066- 26|YES|YES|38||YES|YES|38||||
39|DYS|8319-5.4|YES|YES|39||YES|YES|39||||
40|DYS|8319-5.5|YES|YES|40||YES|YES|40||||
41|DYS|8319-5.3|YES|YES|158||YES|YES|41||||
42|DYS|8319-5.6|YES|YES|39||YES|YES|42||||
43|DYS|8319-510|YES|YES|161||YES|YES|43||||
44|DYS|83214.03|YES|YES|44||YES|YES|44||||
45|DYS|8321-4.6|NO||||YES|YES|45||||
46|DYS|8321-404|YES|YES|46||YES|YES|46||||
47|DYS|8321-405|YES|YES|46||YES|YES|47||||
48|DYS|83170011|NO||||NO|YES|48||||
49|DYS|83170014|NO||||YES|NO|||||
50|DYS|3052-1|YES|YES|50||YES|YES|50||||
51|DYS|3066-5|YES|YES|51||YES|YES|51||||
52|DYS|3066-6|YES|YES|52||NO|YES|52||||
53|DYS|3066-21|YES|YES|53||YES|YES|53||||
54|DYS|3066-25|YES|YES|54||YES|YES|54||||
55|DYS|3051-5|YES|YES|55||YES|YES|55||||
56|DYS|8319-6.6|YES|YES|60||YES|YES|56||||
57|DYS|8319-6.5|YES|YES|60||YES|YES|57||||
58|DYS|8319-6.4|YES|YES|60||YES|YES|58||||
59|DYS|8319-6.3|YES|YES|60||YES|YES|59||||
60|DYS|8319-61A|YES|YES|60||YES|YES|60||||
61|CAL|885T6475|YES|YES|61||YES|YES|61||||
62|CAL|30813452|YES|YES|62||YES|YES|62||||
63|CAL|30816457|YES|YES|63||YES|YES|63||||
64|CAL|30820461|YES|YES|64||YES|YES|64||||
65|CAL|30819460|YES|YES|65||YES|YES|65||||
66|CAL|30818459|YES|YES|66||YES|YES|66||||
68|CAL|30815454|YES|YES|68||YES|YES|68||||
69|CAL|30814453|YES|YES|69||YES|YES|69||||
70|TRC|850708|NO||||YES|YES|70||||
71|CAL|30823464|YES|YES|71||YES|YES|71||||
72|DYS|3053-1|YES|YES|72||YES|YES|72||||
73|CAL|30822463|YES|YES|73||YES|YES|73||||
74|CAL|30824465|YES|YES|74||YES|YES|74||||
75|CAL|30825466|YES|YES|75||YES|YES|75||||
76|CAL|30826467|YES|YES|76||YES|YES|76||||
78|DYS|3053-3|YES|YES|72||YES|YES|78||||
79|DYS|3042-4|NO||||YES|YES|79||||
80|DYS|3053-2|YES|YES|72||YES|YES|80||||
81|DYS|8324-9.4|YES|YES|81||YES|YES|81||||
82|DYS|8324-9.3|YES|YES|82||YES||||||
83|DYS|8327-3.5|YES|YES|83||YES|YES|83||||
84|DYS|8327-3.3|YES|YES|83||YES|YES|84||||
85|DYS|8327-3.4|YES|YES|83||YES||||||
86|DYS|8329-1|YES|YES|96||YES|YES|86||||
87|DYS|8329-2|NO||||YES|YES|87||||
88|CAL|35615479|YES|YES|88||YES|YES|88||||
89|CAL|30828469|YES|YES|89||YES|YES|89||||
90|CAL|88505474|YES|YES|90||YES|YES|90||||
91|CAL|35616480|YES|YES|91||YES|YES|91||||
92|CAL|30821462|YES|YES|92||YES|YES|92||||
93|CAL|30831472|YES|YES|93||YES|YES|93||||
94|CAL|30830471|YES|YES|94||YES|YES|94||||
95|DYS|8329-3|YES|YES|96||NO|YES|95||||
96|DYS|8330-4|YES|YES|96||YES|YES|96||||
97|CAL|30832484|YES|YES|97||YES|YES|97||||
98|CAL|30827468|YES|YES|98||YES|YES|98||||
99|MSE|P9134TOY|YES|YES|99||YES|YES|99||||
100|NTV|80-015|YES|YES|100||NO||||||
101|NTC|1489-084|YES|YES|101||YES|YES|101||||
